Zeit von [CET/CEST];Zeit bis [CET/CEST];Preis Erstveröffentlichung [EUR/MWh];Preis 15 min [EUR/MWh];Preis final [EUR/MWh],,,
01.01.2023 19:15:00;01.01.2023 19:30:00;-85,81;-85,81;-85,75
01.01.2023 19:30:00;01.01.2023 19:45:00;-111,42;-111,42;-111,61
01.01.2023 19:45:00;01.01.2023 20:00:00;-66,35;-66,35;-65,97
01.01.2023 20:00:00;01.01.2023 20:15:00;-13,59;-13,59;-13,43
01.01.2023 20:15:00;01.01.2023 20:30:00;-12,12;-12,12;-5,17
01.01.2023 20:30:00;01.01.2023 20:45:00;-36,70;-36,70;-36,17
01.01.2023 20:45:00;01.01.2023 21:00:00;-20,83;-20,83;-13,59
01.01.2023 21:00:00;01.01.2023 21:15:00;12,96;12,96;12,51
01.01.2023 21:15:00;01.01.2023 21:30:00;-36,34;-36,34;-34,90
01.01.2023 21:30:00;01.01.2023 21:45:00;-46,95;-46,95;-40,93
01.01.2023 21:45:00;01.01.2023 22:00:00;-37,14;-37,14;-35,38
01.01.2023 22:00:00;01.01.2023 22:15:00;0,00;0,00;72,15
01.01.2023 22:15:00;01.01.2023 22:30:00;7,98;7,98;13,83
01.01.2023 22:30:00;01.01.2023 22:45:00;-5,15;-5,15;-2,39
01.01.2023 22:45:00;01.01.2023 23:00:00;9,00;9,00;19,40
01.01.2023 23:00:00;01.01.2023 23:15:00;212,82;212,82;211,27
01.01.2023 23:15:00;01.01.2023 23:30:00;-28,54;-28,54;-28,48
01.01.2023 23:30:00;01.01.2023 23:45:00;-101,60;-101,60;-104,4
01.01.2023 23:45:00;02.01.2023 00:00:00;-366,55;-366,55;-368,69
02.01.2023 00:00:00;02.01.2023 00:15:00;-98,31;-98,31;-96,47
02.01.2023 00:15:00;02.01.2023 00:30:00;-146,04;-146,04;-144,87
02.01.2023 00:30:00;02.01.2023 00:45:00;-64,56;-64,56;-64,56
02.01.2023 00:45:00;02.01.2023 01:00:00;-29,74;-29,74;-29,20
02.01.2023 01:00:00;02.01.2023 01:15:00;-39,97;-39,97;-40,1
02.01.2023 01:15:00;02.01.2023 01:30:00;-148,20;-148,20;-149,17
02.01.2023 01:30:00;02.01.2023 01:45:00;-78,04;-78,04;-76,96
02.01.2023 01:45:00;02.01.2023 02:00:00;-110,25;-110,25;-109,80
02.01.2023 02:00:00;02.01.2023 02:15:00;39,69;41,95;42,82
02.01.2023 02:15:00;02.01.2023 02:30:00;-132,75;-132,75;-132,91
02.01.2023 02:30:00;02.01.2023 02:45:00;-131,43;-131,43;-131,98
02.01.2023 02:45:00;02.01.2023 03:00:00;-129,54;-129,54;27,84
02.01.2023 03:00:00;02.01.2023 03:15:00;191,04;191,04;191,4
02.01.2023 03:15:00;02.01.2023 03:30:00;191,04;191,04;191,4
02.01.2023 03:30:00;02.01.2023 03:45:00;191,04;191,04;191,4
02.01.2023 03:45:00;02.01.2023 04:00:00;191,04;191,04;191,4
02.01.2023 04:00:00;02.01.2023 04:15:00;47,85;47,31;47,70
02.01.2023 04:15:00;02.01.2023 04:30:00;-53,41;-53,41;-53,38
02.01.2023 04:30:00;02.01.2023 04:45:00;48,38;48,45;50,28
02.01.2023 04:45:00;02.01.2023 05:00:00;-191,40;-191,40;-195,71
02.01.2023 05:00:00;02.01.2023 05:15:00;-136,37;-136,37;-132,54
02.01.2023 05:15:00;02.01.2023 05:30:00;-123,59;-123,59;-124,14
02.01.2023 05:30:00;02.01.2023 05:45:00;-91,14;-91,14;-90,24
02.01.2023 05:45:00;02.01.2023 06:00:00;-57,48;-57,48;-57,75
02.01.2023 06:00:00;02.01.2023 06:15:00;-111,49;-111,49;-111,73
02.01.2023 06:15:00;02.01.2023 06:30:00;-74,98;-74,98;-75,77
02.01.2023 06:30:00;02.01.2023 06:45:00;-70,04;-70,04;-68,27
02.01.2023 06:45:00;02.01.2023 07:00:00;26,44;26,44;25,18
02.01.2023 07:00:00;02.01.2023 07:15:00;-69,53;-69,53;-70,21
02.01.2023 07:15:00;02.01.2023 07:30:00;-167,18;-167,18;-167,61
02.01.2023 07:30:00;02.01.2023 07:45:00;-15,16;-15,16;-12,78
02.01.2023 07:45:00;02.01.2023 08:00:00;132,59;132,60;134,74
02.01.2023 08:00:00;02.01.2023 08:15:00;-23,26;-23,26;-23,9
02.01.2023 08:15:00;02.01.2023 08:30:00;-0,28;-0,28;0,1
02.01.2023 08:30:00;02.01.2023 08:45:00;3,97;3,97;4,15
02.01.2023 08:45:00;02.01.2023 09:00:00;21,65;21,65;26,14
02.01.2023 09:00:00;02.01.2023 09:15:00;19,20;19,20;21,71
02.01.2023 09:15:00;02.01.2023 09:30:00;126,46;124,73;125,0
02.01.2023 09:30:00;02.01.2023 09:45:00;79,89;79,89;79,13
02.01.2023 09:45:00;02.01.2023 10:00:00;8,00;8,00;245,32
02.01.2023 10:00:00;02.01.2023 10:15:00;108,69;108,69;112,68
02.01.2023 10:15:00;02.01.2023 10:30:00;51,59;51,59;51,18
02.01.2023 10:30:00;02.01.2023 10:45:00;23,87;23,87;23,87
02.01.2023 10:45:00;02.01.2023 11:00:00;46,22;46,22;36,66
02.01.2023 11:00:00;02.01.2023 11:15:00;8,97;8,97;10,96
02.01.2023 11:15:00;02.01.2023 11:30:00;-13,79;-13,79;-13,80
02.01.2023 11:30:00;02.01.2023 11:45:00;136,26;136,13;139,55
02.01.2023 11:45:00;02.01.2023 12:00:00;10,32;10,32;10,38
02.01.2023 12:00:00;02.01.2023 12:15:00;33,22;33,22;34,63
02.01.2023 12:15:00;02.01.2023 12:30:00;13,12;13,12;15,68
02.01.2023 12:30:00;02.01.2023 12:45:00;23,87;23,87;23,87
02.01.2023 12:45:00;02.01.2023 13:00:00;3,44;3,44;4,3
02.01.2023 13:00:00;02.01.2023 13:15:00;5,50;5,50;6,64
02.01.2023 13:15:00;02.01.2023 13:30:00;18,34;18,34;20,3
02.01.2023 13:30:00;02.01.2023 13:45:00;23,87;23,87;23,87
02.01.2023 13:45:00;02.01.2023 14:00:00;6,15;6,15;6,63
02.01.2023 14:00:00;02.01.2023 14:15:00;2,33;2,33;2,33
02.01.2023 14:15:00;02.01.2023 14:30:00;-6,79;-6,79;-7,6
02.01.2023 14:30:00;02.01.2023 14:45:00;143,70;145,91;146,50
